x y weight
-1.49722043185277 1.16975680311875 393.3
1.4657358402071 1.12876855321735 468
1.45988018036522 -1.77728721904391 355.6
-1.38832361348062 -2.76643639460089 334.3
0.0488592953835005 1.39914715782673 453.2
1.85278377318057 -0.420942145476988 434.4
0.148265933939905 -2.49559956980941 610.1
-1.79998903378402 0.006283172547402 646.5
-4.29722043185277 1.16975680311875 203.9
-1.49722043185277 4.16975680311875 266.7
1.4657358402071 4.02876855321735 155.6
4.5657358402071 1.12876855321735 257.7
4.70988018036522 -1.77728721904391 195.7
1.45988018036522 -4.67728721904391 222.9
-1.38832361348062 -4.76643639460089 280.8
-4.83832361348062 -2.76643639460089 192.9
-4.57046237091899 3.57083655688882 134.1
4.83296682446666 3.72188549979774 120.4
3.87185613053383 -4.71367479833384 184.9
-3.90466916685823 -4.68652949392049 201.9
-6.2252849534931 4.8637256550727 157.9
6.259088182506 4.82014679482002 0
5.04610757995803 -6.14323190930394 103.6
-5.40892696064787 -6.49199577436527 100.9
